iter	Passed	Remaining
0	169	169444
1	171	85640
2	173	57652
3	175	43632
4	177	35266
5	179	29677
6	180	25628
7	182	22583
8	184	20260
9	185	18373
10	187	16836
11	188	15553
12	190	14476
13	192	13528
14	193	12710
15	194	11986
16	196	11355
17	197	10790
18	199	10289
19	200	9833
20	202	9420
21	203	9037
22	204	8688
23	205	8367
24	206	8071
25	208	7795
26	209	7536
27	210	7308
28	211	7092
29	213	6902
30	214	6713
31	215	6531
32	217	6366
33	218	6207
34	219	6063
35	221	5927
36	222	5795
37	224	5678
38	225	5566
39	227	5470
40	229	5366
41	230	5265
42	232	5170
43	233	5076
44	235	4995
45	236	4912
46	238	4836
47	240	4767
48	241	4693
49	243	4629
50	245	4564
51	246	4500
52	248	4433
53	249	4374
54	251	4317
55	252	4260
56	254	4208
57	255	4155
58	257	4102
59	258	4047
60	259	3994
61	260	3943
62	261	3894
63	262	3846
64	264	3798
65	265	3753
66	266	3707
67	266	3657
68	268	3618
69	269	3580
70	270	3539
71	271	3498
72	272	3462
73	273	3425
74	274	3387
75	275	3350
76	276	3313
77	277	3278
78	278	3244
79	279	3212
80	280	3180
81	281	3148
82	282	3117
83	283	3086
84	283	3051
85	284	3021
86	284	2990
87	286	2967
88	287	2942
89	288	2918
90	289	2895
91	291	2875
92	292	2855
93	293	2830
94	294	2805
95	295	2781
96	296	2761
97	297	2740
98	298	2720
99	300	2700
100	301	2680
101	301	2655
102	302	2635
103	303	2613
104	304	2592
105	305	2572
106	305	2551
107	306	2531
108	307	2510
109	307	2490
110	308	2472
111	309	2456
112	310	2440
113	311	2424
114	313	2409
115	313	2390
116	314	2373
117	315	2355
118	315	2339
119	316	2323
120	317	2306
121	318	2290
122	318	2272
123	319	2256
124	320	2241
125	320	2225
126	321	2210
127	322	2196
128	323	2183
129	325	2175
130	326	2167
131	328	2158
132	330	2157
133	331	2145
134	332	2132
135	333	2120
136	334	2107
137	335	2094
138	336	2082
139	336	2070
140	337	2058
141	338	2046
142	339	2036
143	340	2026
144	341	2015
145	342	2004
146	343	1992
147	344	1981
148	344	1970
149	345	1959
150	346	1949
151	347	1940
152	348	1932
153	350	1924
154	351	1914
155	352	1907
156	353	1899
157	355	1896
158	357	1890
159	359	1887
160	360	1880
161	362	1873
162	362	1862
163	363	1852
164	364	1842
165	364	1832
166	365	1822
167	366	1812
168	366	1802
